"year","region","carbon_emission_intensity"
"2005","Abruzzo","0.3250390241662307"
"2005","Basilicata","0.36049258848630816"
"2005","Calabria","0.68534191817133"
"2005","Campania","0.4185158001766615"
"2005","Emilia-Romagna","0.43096745395317715"
"2005","Friuli-Venezia Giulia","0.2666909259421016"
"2005","Lazio","0.599440739508853"
"2005","Liguria","0.9083239994781448"
"2005","Lombardia","0.5255310120725201"
"2005","Marche","0.16549118814531671"
"2005","Molise","0.8176447068010637"
"2005","Piemonte","0.4218112350159565"
"2005","Puglia","0.6416971463655305"
"2005","Sardegna","0.5412562959840961"
"2005","Sicilia","0.39031866969899004"
"2005","Toscana","0.4211292073480277"
"2005","Trentino-Alto Adige","0.07864843304021378"
"2005","Umbria","0.4340667549770677"
"2005","Valle d'Aosta","0.44162737344539926"
"2005","Veneto","0.9189849000493423"
"2006","Abruzzo","0.30364595165942"
"2006","Basilicata","0.3804056992283303"
"2006","Calabria","0.7795577048481962"
"2006","Campania","0.37087569682747173"
"2006","Emilia-Romagna","0.503686932658013"
"2006","Friuli-Venezia Giulia","0.37753704643290825"
"2006","Lazio","0.5939503488891431"
"2006","Liguria","0.9293385693169743"
"2006","Lombardia","0.46169618085213465"
"2006","Marche","0.1629069786546954"
"2006","Molise","0.9566176512066878"
"2006","Piemonte","0.4045001528346457"
"2006","Puglia","0.5934748908998052"
"2006","Sardegna","0.5239316571176799"
"2006","Sicilia","0.3935450613296686"
"2006","Toscana","0.4608241424389735"
"2006","Trentino-Alto Adige","0.07195093148216662"
"2006","Umbria","0.4125887321089299"
"2006","Valle d'Aosta",
"2006","Veneto","0.9927705292111698"
"2007","Abruzzo","0.35775200819916175"
"2007","Basilicata","0.3850975048998461"
"2007","Calabria","0.6408903664295689"
"2007","Campania","0.40313755002948126"
"2007","Emilia-Romagna","0.49897667725126066"
"2007","Friuli-Venezia Giulia","0.3317215632963405"
"2007","Lazio","0.7779960706667328"
"2007","Liguria","1.0064554347972738"
"2007","Lombardia","0.4755959328328056"
"2007","Marche","0.16697335056610976"
"2007","Molise","0.5135418369560316"
"2007","Piemonte","0.4462722213872576"
"2007","Puglia","0.5810526281917174"
"2007","Sardegna","0.5157316583652031"
"2007","Sicilia","0.34130057980737016"
"2007","Toscana","0.3994137144108401"
"2007","Trentino-Alto Adige","0.0753089851902552"
"2007","Umbria","0.4719379659702676"
"2007","Valle d'Aosta",
"2007","Veneto","0.9522072168125411"
"2008","Abruzzo","0.5435235249626358"
"2008","Basilicata","0.4262669376725915"
"2008","Calabria","0.7036994320724449"
"2008","Campania","0.30064311994902676"
"2008","Emilia-Romagna","0.42879913021166505"
"2008","Friuli-Venezia Giulia","0.337093317962248"
"2008","Lazio","0.8692104272974734"
"2008","Liguria","0.8660396535879065"
"2008","Lombardia","0.45136314800838967"
"2008","Marche","0.14052371086112098"
"2008","Molise","0.42308421932308277"
"2008","Piemonte","0.40686409039195676"
"2008","Puglia","0.565926665792421"
"2008","Sardegna","0.526548632967401"
"2008","Sicilia","0.31158139903720583"
"2008","Toscana","0.38672287948464384"
"2008","Trentino-Alto Adige","0.06495450045183761"
"2008","Umbria","0.4769274846419994"
"2008","Valle d'Aosta",
"2008","Veneto","0.9591605318583102"
"2009","Abruzzo","0.32712230369461515"
"2009","Basilicata","0.30950853751572277"
"2009","Calabria","0.6068830219214396"
"2009","Campania","0.3004040829016146"
"2009","Emilia-Romagna","0.42740145687131353"
"2009","Friuli-Venezia Giulia","0.3179159683002778"
"2009","Lazio","0.9706173471782217"
"2009","Liguria","0.9686946408549614"
"2009","Lombardia","0.43279707883975915"
"2009","Marche","0.12558704650788075"
"2009","Molise","0.43950735630968985"
"2009","Piemonte","0.36575068792518056"
"2009","Puglia","0.4844256870519167"
"2009","Sardegna","0.45784491629529117"
"2009","Sicilia","0.2556083783165716"
"2009","Toscana","0.35563116446063175"
"2009","Trentino-Alto Adige","0.05544079301646094"
"2009","Umbria","0.458815190879807"
"2009","Valle d'Aosta",
"2009","Veneto","0.8684617433167545"
"2010","Abruzzo","0.4136801592168462"
"2010","Basilicata","0.2928300856596658"
"2010","Calabria","0.625213225511985"
"2010","Campania","0.292589063256684"
"2010","Emilia-Romagna","0.38015040031443176"
"2010","Friuli-Venezia Giulia","0.2949635407647576"
"2010","Lazio","1.0784624798035374"
"2010","Liguria","0.7740436990425895"
"2010","Lombardia","0.418579815444262"
"2010","Marche","0.12115192280646359"
"2010","Molise","0.5969888056796008"
"2010","Piemonte","0.38799244800103416"
"2010","Puglia","0.4328379906641656"
"2010","Sardegna","0.40490234458550234"
"2010","Sicilia","0.32240520883385393"
"2010","Toscana","0.3410008836391357"
"2010","Trentino-Alto Adige","0.056917528738478114"
"2010","Umbria","0.4774997873532549"
"2010","Valle d'Aosta","0.40789194897277686"
"2010","Veneto","0.9425048054440469"
"2011","Abruzzo","0.42586361530540634"
"2011","Basilicata","0.30403737959662874"
"2011","Calabria","0.6507126339323573"
"2011","Campania","0.30190508726852394"
"2011","Emilia-Romagna","0.3788731519964508"
"2011","Friuli-Venezia Giulia","0.3242097117514515"
"2011","Lazio","0.8576478429219694"
"2011","Liguria","0.8747828833234392"
"2011","Lombardia","0.40526279485989797"
"2011","Marche","0.13935097940178348"
"2011","Molise","0.5918344963856703"
"2011","Piemonte","0.3814570052781323"
"2011","Puglia","0.44295946412125103"
"2011","Sardegna","0.4280285547369692"
"2011","Sicilia","0.2923170078503478"
"2011","Toscana","0.31869002954371684"
"2011","Trentino-Alto Adige","0.05893464558478521"
"2011","Umbria","0.4925377732922277"
"2011","Valle d'Aosta",
"2011","Veneto","0.9332686549856982"
"2012","Abruzzo","0.4530991641846818"
"2012","Basilicata","0.23753241393746022"
"2012","Calabria","0.5888498770663546"
"2012","Campania","0.25916352354004624"
"2012","Emilia-Romagna","0.3605202090485159"
"2012","Friuli-Venezia Giulia","0.3023849418785805"
"2012","Lazio","0.8378768954146102"
"2012","Liguria","0.9222884554073237"
"2012","Lombardia","0.4027929169077951"
"2012","Marche","0.1040436988929215"
"2012","Molise","0.6065194252069035"
"2012","Piemonte","0.32336772888666504"
"2012","Puglia","0.46252235922257"
"2012","Sardegna","0.4404497701546925"
"2012","Sicilia","0.2707238889580665"
"2012","Toscana","0.2848904655238384"
"2012","Trentino-Alto Adige","0.04946903473167818"
"2012","Umbria","0.6499715160631735"
"2012","Valle d'Aosta",
"2012","Veneto","0.745606381471829"
"2013","Abruzzo","0.3973202509579752"
"2013","Basilicata","0.20419021547049143"
"2013","Calabria","0.5043846151216804"
"2013","Campania","0.23472894416114023"
"2013","Emilia-Romagna","0.34899237018140744"
"2013","Friuli-Venezia Giulia","0.2828546115016727"
"2013","Lazio","0.7820013864243183"
"2013","Liguria","0.905481088259224"
"2013","Lombardia","0.3372649563575027"
"2013","Marche","0.15200483380618884"
"2013","Molise","0.4686418817070528"
"2013","Piemonte","0.25898698259790714"
"2013","Puglia","0.4441844298157452"
"2013","Sardegna","0.41151791585412895"
"2013","Sicilia","0.22913883135475369"
"2013","Toscana","0.25773274247562566"
"2013","Trentino-Alto Adige","0.035479450511585006"
"2013","Umbria","0.43842346095277296"
"2013","Valle d'Aosta",
"2013","Veneto","0.6059778666864949"
"2014","Abruzzo","0.36808840607856946"
"2014","Basilicata","0.2008945615936208"
"2014","Calabria","0.5101782664462898"
"2014","Campania","0.24090237960594824"
"2014","Emilia-Romagna","0.3533286120740958"
"2014","Friuli-Venezia Giulia","0.271946379492399"
"2014","Lazio","0.7095666248389498"
"2014","Liguria","1.189538885551451"
"2014","Lombardia","0.31455660438948285"
"2014","Marche","0.14322163946880045"
"2014","Molise","0.5048792592066931"
"2014","Piemonte","0.267361769669"
"2014","Puglia","0.4124044555858265"
"2014","Sardegna","0.4063553696976516"
"2014","Sicilia","0.2179278737172681"
"2014","Toscana","0.24786540651534383"
"2014","Trentino-Alto Adige","0.028414399000589008"
"2014","Umbria","0.46125749060294247"
"2014","Valle d'Aosta",
"2014","Veneto","0.55228357959121"
"2015","Abruzzo","0.35539310800231366"
"2015","Basilicata","0.23195148891424516"
"2015","Calabria","0.34718484253092635"
"2015","Campania","0.21309699349871886"
"2015","Emilia-Romagna","0.3534422769872965"
"2015","Friuli-Venezia Giulia","0.30941550590603467"
"2015","Lazio","0.7563934124487919"
"2015","Liguria","1.466733624786973"
"2015","Lombardia","0.33389754885485823"
"2015","Marche","0.16567817313997663"
"2015","Molise","0.52295120572223"
"2015","Piemonte","0.2625665808920366"
"2015","Puglia","0.41870034388868166"
"2015","Sardegna","0.4808457093838168"
"2015","Sicilia","0.23156885316680162"
"2015","Toscana","0.2788000064603609"
"2015","Trentino-Alto Adige","0.04962140628773676"
"2015","Umbria","0.640604121411591"
"2015","Valle d'Aosta","0.20807316761752934"
"2015","Veneto","0.5982612616012849"
"2016","Abruzzo","0.4092195953202315"
"2016","Basilicata","0.19854906051915575"
"2016","Calabria","0.3360375503168752"
"2016","Campania","0.22047128851434947"
"2016","Emilia-Romagna","0.32433105017884695"
"2016","Friuli-Venezia Giulia","0.23636864823765838"
"2016","Lazio","0.6921482057312978"
"2016","Liguria","1.17027857758768"
"2016","Lombardia","0.3643424285027537"
"2016","Marche","0.1801039849765168"
"2016","Molise","0.6067786893966343"
"2016","Piemonte","0.2862710534898346"
"2016","Puglia","0.40519035648267787"
"2016","Sardegna","0.41689609922695564"
"2016","Sicilia","0.27691274602589583"
"2016","Toscana","0.25473846668591144"
"2016","Trentino-Alto Adige","0.051674500596058284"
"2016","Umbria","0.6046785391393987"
"2016","Valle d'Aosta",
"2016","Veneto","0.5593091790418573"
"2017","Abruzzo","0.4277702946945984"
"2017","Basilicata","0.17317489287306131"
"2017","Calabria","0.32399319913837216"
"2017","Campania","0.2345481466949434"
"2017","Emilia-Romagna","0.32497382554891113"
"2017","Friuli-Venezia Giulia","0.24774368167285343"
"2017","Lazio","0.7064353565112443"
"2017","Liguria","0.7245925076759823"
"2017","Lombardia","0.35120157966046023"
"2017","Marche","0.12854082986149906"
"2017","Molise","0.494801107701924"
"2017","Piemonte","0.2643886600733534"
"2017","Puglia","0.44081095436528395"
"2017","Sardegna","0.38353682589832316"
"2017","Sicilia","0.3317300698387461"
"2017","Toscana","0.25592777763211333"
"2017","Trentino-Alto Adige","0.058977310103339606"
"2017","Umbria","0.6492585074611854"
"2017","Valle d'Aosta","0.3175773048614191"
"2017","Veneto","0.6192899978056803"
"2018","Abruzzo","0.36541712558921097"
"2018","Basilicata","0.17246084206937642"
"2018","Calabria","0.3073006270678053"
"2018","Campania","0.2297736182760472"
"2018","Emilia-Romagna","0.32740736767664813"
"2018","Friuli-Venezia Giulia","0.23049235767045076"
"2018","Lazio","0.7172112812739115"
"2018","Liguria","0.6296946804216649"
"2018","Lombardia","0.32366765492092503"
"2018","Marche","0.17938746405555198"
"2018","Molise","0.48829913400909297"
"2018","Piemonte","0.24924485200867227"
"2018","Puglia","0.4404903887660901"
"2018","Sardegna","0.3570914265560745"
"2018","Sicilia","0.33799279957991724"
"2018","Toscana","0.2836992964376881"
"2018","Trentino-Alto Adige","0.04984271975117635"
"2018","Umbria","0.47519326428518516"
"2018","Valle d'Aosta",
"2018","Veneto","0.5509510885783053"
"2019","Abruzzo","0.34034033786862083"
"2019","Basilicata","0.14953425607371218"
"2019","Calabria","0.29407816237755197"
"2019","Campania","0.21433043602305427"
"2019","Emilia-Romagna","0.3157728735889471"
"2019","Friuli-Venezia Giulia","0.23595232426437926"
"2019","Lazio","0.840613616467237"
"2019","Liguria","0.8121508353503315"
"2019","Lombardia","0.3231464902432393"
"2019","Marche","0.19582851498637768"
"2019","Molise","0.4291159467418201"
"2019","Piemonte","0.2580879507497486"
"2019","Puglia","0.340767965688133"
"2019","Sardegna","0.25043399210209305"
"2019","Sicilia","0.3377162527011846"
"2019","Toscana","0.25981463361314255"
"2019","Trentino-Alto Adige","0.049337850413670475"
"2019","Umbria","0.39196753330519324"
"2019","Valle d'Aosta","0.2808527751795824"
"2019","Veneto","0.532287912192126"
"2020","Abruzzo","0.3147263257601947"
"2020","Basilicata","0.1415469627983464"
"2020","Calabria","0.31779936920654217"
"2020","Campania","0.2138292423468684"
"2020","Emilia-Romagna","0.3069960050732007"
"2020","Friuli-Venezia Giulia","0.24303428605684332"
"2020","Lazio","0.8424762887827768"
"2020","Liguria","1.0896015349328478"
"2020","Lombardia","0.300340454344525"
"2020","Marche","0.1814842614817149"
"2020","Molise","0.43869256957637137"
"2020","Piemonte","0.25172240504034615"
"2020","Puglia","0.28103367972225674"
"2020","Sardegna","0.20307512738814187"
"2020","Sicilia","0.33411849115083775"
"2020","Toscana","0.25237096546685306"
"2020","Trentino-Alto Adige","0.03887399441263174"
"2020","Umbria","0.4026679544399902"
"2020","Valle d'Aosta",
"2020","Veneto","0.5221689323996651"
"2021","Abruzzo","0.32700124705776484"
"2021","Basilicata","0.13671210036647052"
"2021","Calabria","0.3617279568807828"
"2021","Campania","0.2217643654482415"
"2021","Emilia-Romagna","0.28083667031893084"
"2021","Friuli-Venezia Giulia","0.2691094344673742"
"2021","Lazio","0.8689056824909702"
"2021","Liguria","1.048053515577165"
"2021","Lombardia","0.29694493923603904"
"2021","Marche","0.18442442679694973"
"2021","Molise","0.5317289384939059"
"2021","Piemonte","0.2653544456242153"
"2021","Puglia","0.27587720447812863"
"2021","Sardegna","0.24202429840838144"
"2021","Sicilia","0.34316571396813234"
"2021","Toscana","0.26710058403414016"
"2021","Trentino-Alto Adige","0.04727504609560994"
"2021","Umbria","0.29629601981508014"
"2021","Valle d'Aosta","0.30046697521127236"
"2021","Veneto","0.5362845973942734"
"2022","Abruzzo","0.42031397484411515"
"2022","Basilicata","0.1389694366209397"
"2022","Calabria","0.3818272215354028"
"2022","Campania","0.24627517423258366"
"2022","Emilia-Romagna","0.32077434510063924"
"2022","Friuli-Venezia Giulia","0.26151793690224023"
"2022","Lazio","0.9315729517850354"
"2022","Liguria","0.5700709357699809"
"2022","Lombardia","0.3284899650004183"
"2022","Marche","0.1979642861939219"
"2022","Molise","0.6676444615654605"
"2022","Piemonte","0.3228005686837148"
"2022","Puglia","0.2819327333255884"
"2022","Sardegna","0.26113949671343034"
"2022","Sicilia","0.2976267538969834"
"2022","Toscana","0.2737152456094883"
"2022","Trentino-Alto Adige","0.0707893795246943"
"2022","Umbria","0.44635887915682604"
"2022","Valle d'Aosta",
"2022","Veneto","0.48862231034850584"